,month_details,stock,stock_name,month
730,2005-06,000410,沈阳机床,87
731,2005-06,000541,佛山照明,87
732,2005-06,000581,威孚高科,87
733,2005-06,000636,风华高科,87
734,2005-06,000828,东莞控股,87
735,2005-06,600012,皖通高速,87
736,2005-06,600718,东软集团,87
737,2005-06,600797,浙大网新,87
738,2005-06,600851,海欣股份,87
739,2005-06,000400,许继电气,87
740,2005-06,000550,江铃汽车,87
741,2005-06,000682,东方电子,87
742,2005-06,000708,中信特钢,87
743,2005-06,000786,北新建材,87
744,2005-06,000970,中科三环,87
745,2005-06,600035,楚天高速,87
746,2005-06,600088,中视传媒,87
747,2005-06,600662,强生控股,87
748,2005-06,600868,梅雁吉祥,87
749,2005-06,601607,上海医药,87
750,2005-06,000066,中国长城,87
751,2005-06,000068,华控赛格,87
752,2005-06,000623,吉林敖东,87
753,2005-06,000930,中粮科技,87
754,2005-06,000962,东方钽业,87
755,2005-06,600060,海信视像,87
756,2005-06,600078,澄星股份,87
757,2005-06,600171,上海贝岭,87
758,2005-06,000100,TCL科技,87
759,2005-06,000423,东阿阿胶,87
760,2005-06,000520,长航凤凰,87
761,2005-06,000601,韶能股份,87
762,2005-06,000698,沈阳化工,87
763,2005-06,000725,京东方,87
764,2005-06,000875,吉电股份,87
765,2005-06,000895,双汇发展,87
766,2005-06,001872,招商港口,87
767,2005-06,600073,上海梅林,87
768,2005-06,600089,特变电工,87
769,2005-06,600121,郑州煤电,87
770,2005-06,600198,大唐电信,87
771,2005-06,600377,宁沪高速,87
772,2005-06,600548,深高速,87
773,2005-06,600602,云赛智联,87
774,2005-06,600637,东方明珠,87
775,2005-06,600871,石化油服,87
776,2005-06,600884,杉杉股份,87
777,2005-06,600333,长春燃气,87
